"Time [ns]"	"Moving1.Position [deg]"	"NodeVoltage(Ie_a) [V]"	"Moving1.Position [deg]"	"NodeVoltage(Ie_b) [V]"	"Moving1.Position [deg]"	"NodeVoltage(Ie_c) [V]"
57100	0.5139	204.170044109191	0.5139	-232.623786479579	0.5139	138.092879108035
114200	1.0278	213.490346545434	1.0278	-232.19018467766	1.0278	116.953289720713
171300	1.5417	219.172755658652	1.5417	-231.829600411957	1.5417	96.8433104253057
228400	2.0556	222.431775493441	2.0556	-232.570037746527	2.0556	73.2296981353861
285500	2.5695	226.056289321982	2.5695	-231.825977769316	2.5695	48.3758774909527
342600	3.0834	229.059811662577	3.0834	-230.52721302275	3.0834	22.8726820561174
399700	3.5973	229.917565301625	3.5973	-229.697487445967	3.5973	-2.70640393520742
456800	4.1112	230.71677258218	4.1112	-228.632754801528	4.1112	-27.9290819132847
513900	4.6251	231.910032601015	4.6251	-225.100801965076	4.6251	-55.8396396833343
571000	5.139	232.26489948707	5.139	-222.674589736011	5.139	-76.2743533292739
628100	5.6529	231.724073384352	5.6529	-218.220459124675	5.6529	-100.471763789017
685200	6.16679999999998	232.2662963636	6.16679999999998	-210.734845044358	6.16679999999998	-122.377264457292
742300	6.68069999999999	233.030540217885	6.68069999999999	-202.598317068991	6.68069999999999	-143.809846728526
799400	7.1946	232.030355236305	7.1946	-193.801974012552	7.1946	-158.622253167426
856500	7.70850000000001	231.965289849664	7.70850000000001	-180.783240624525	7.70850000000001	-173.944850343788
913600	8.22240000000001	231.986071583015	8.22240000000001	-166.544355805016	8.22240000000001	-187.919794952266
970700	8.73630000000002	232.634811825967	8.73630000000002	-150.80286910264	8.73630000000002	-198.850999547433
1027800	9.25020000000003	232.546601215433	9.25020000000003	-131.72509545572	9.25020000000003	-207.114026421495
1084900	9.76409999999998	232.036667419913	9.76409999999998	-110.602357903928	9.76409999999998	-215.177673740197
1142000	10.278	231.668341325407	10.278	-86.5580025708798	10.278	-221.246643592907
1199100	10.7919	232.583716153396	10.7919	-68.0247859848874	10.7919	-222.978674195076
1256200	11.3058	231.424169625039	11.3058	-40.4563430341638	11.3058	-227.382228913118
1313300	11.8197	229.946360713377	11.8197	-14.1403680219807	11.8197	-229.5515831173
1370400	12.3336	229.854952023292	12.3336	11.7669343395922	12.3336	-230.061624045673
1427500	12.8475	227.439674269952	12.8475	35.397927251193	12.8475	-231.322898348611
1484600	13.3614	224.442560932724	13.3614	61.7545136806518	13.3614	-232.049193840899
1541700	13.8753	221.132139604368	13.8753	85.6629624236446	13.8753	-232.047772964852
1598800	14.3892	216.379304371606	14.3892	107.575538363277	14.3892	-231.99210189964
1655900	14.9031	208.306389204512	14.9031	129.046135011471	14.9031	-232.620995809732
1713000	15.417	199.513035174173	15.417	148.230851109271	15.417	-232.501545769048
1770100	15.9309	189.225953743544	15.9309	166.167225530553	15.9309	-231.969630024877
1827200	16.4448	177.667484550403	16.4448	176.956369331024	16.4448	-232.175669922927
1884300	16.9587	161.325267843653	16.9587	191.977777337052	16.9587	-232.294180065192
1941400	17.4726	144.857554030781	17.4726	201.108902557091	17.4726	-232.711869579396
1998500	17.9865	125.464150431154	17.9865	210.194428659972	17.9865	-232.479308505372
2055600	18.5004	103.793511278788	18.5004	217.359688220636	18.5004	-231.847861826319
2112700	19.0143	81.0988566909631	19.0143	221.788296692878	19.0143	-232.174454224212
2169800	19.5282	57.1368109308039	19.5282	224.612048387505	19.5282	-232.210900826599
2226900	20.0421	32.995795485444	20.0421	228.270287706829	20.0421	-231.062513968175
2284000	20.556	6.29605399319042	20.556	229.756360105221	20.556	-229.801149411905
2341100	21.0699	-18.8373148099995	21.0699	230.270402926577	21.0699	-229.2706065006
2398200	21.5838	-47.1344063013076	21.5838	231.996257075094	21.5838	-226.009633961883
2455300	22.0977	-67.1618084935693	22.0977	232.169322392864	22.0977	-224.055869128004
2512400	22.6116	-92.7310781988874	22.6116	231.659236184027	22.6116	-220.028622625519
2569500	23.1255	-114.669770091196	23.1255	232.10751416211	23.1255	-213.756309130181
2626600	23.6394	-136.098231797474	23.6394	232.760757577441	23.6394	-205.817839220169
2683700	24.1533	-153.432891842455	24.1533	232.500878149896	24.1533	-196.787225733603
2740800	24.6672	-168.705052876229	24.6672	231.891509969651	24.6672	-185.914211567829
2797900	25.1811000000001	-183.685357928493	25.1811000000001	232.094107692651	25.1811000000001	-171.632157327777
2855000	25.695	-195.372010560416	25.695	232.281874701531	25.695	-156.929505253755
2912100	26.2089	-203.780684070208	26.2089	232.784702031903	26.2089	-139.024370791831
2969200	26.7228	-212.10641250312	26.7228	232.254596812762	26.7228	-118.295626242537
3026300	27.2367	-219.712974979676	27.2367	231.650659568604	27.2367	-95.1724259796172
3083400	27.7506	-222.272656813744	27.7506	232.539494115126	27.7506	-75.7849500676641
3140500	28.2645	-226.209323285966	28.2645	231.794882284879	28.2645	-49.4878558146387
3197600	28.7784000000001	-228.848076167037	28.7784000000001	230.4515136079	28.7784000000001	-23.3896258521583
3254700	29.2923000000001	-229.924840635483	29.2923000000001	229.920466203455	29.2923000000001	1.5206794462666
3311800	29.8062000000001	-230.683781272764	29.8062000000001	228.570896001181	29.8062000000001	27.1195010401147
3368900	30.3201	-231.896779111645	30.3201	225.386343522157	30.3201	52.7540718737455
3426000	30.834	-232.390166590963	30.834	222.1921869679	30.834	78.5684803192187
3483100	31.3479	-231.812660397583	31.3479	218.833497985301	31.3479	98.6537793390133
3540200	31.8618	-232.301248236003	31.8618	211.356619655742	31.8618	121.453241618335
3597300	32.3757	-232.718613490873	32.3757	202.639946460995	32.3757	141.721438689289
3654400	32.8896000000001	-232.204154167145	32.8896000000001	193.572129563278	32.8896000000001	160.168785284332
3711500	33.4035000000001	-232.048786178659	33.4035000000001	181.907041851456	33.4035000000001	172.699336188921
3768600	33.9174000000001	-232.062701164162	33.9174000000001	166.805114608911	33.9174000000001	187.566800517379
3825700	34.4313000000001	-232.510829824519	34.4313000000001	151.322416909786	34.4313000000001	198.005773367136
3882800	34.9452	-232.732479462843	34.9452	133.156863925288	34.9452	207.013671384039
3939900	35.4591	-232.028920065957	35.4591	111.326227888717	35.4591	214.89741528703
3997000	35.973	-231.821430867928	35.973	89.3527247303071	35.973	220.63042017016
4054100	36.4869000000001	-232.269629940208	36.4869000000001	65.2166748412412	36.4869000000001	223.780319422551
4111200	37.0008000000001	-231.769761278207	37.0008000000001	42.8995681433231	37.0008000000001	227.077863622924
4168300	37.5147000000001	-230.000318617949	37.5147000000001	15.285083197874	37.5147000000001	229.296609382573
4225400	38.0286000000001	-229.684125563176	38.0286000000001	-9.87289880321369	38.0286000000001	230.008883612956
4282500	38.5425	-227.625281724358	38.5425	-36.9356319549764	38.5425	231.010803274126
4339600	39.0564	-224.475561671494	39.0564	-59.5481821820496	39.0564	232.512889689884
4396700	39.5703	-221.400623084247	39.5703	-84.5372603309339	39.5703	231.919340255712
4453800	40.0842000000001	-216.487568006734	40.0842000000001	-106.923740476966	40.0842000000001	231.885987318019
4510900	40.5981000000001	-208.961911268204	40.5981000000001	-128.384353768019	40.5981000000001	232.64606702676
4568000	41.1120000000001	-199.882352205407	41.1120000000001	-147.511109142689	41.1120000000001	232.6774502658
4625100	41.6259000000001	-190.423108821379	41.6259000000001	-163.33466677666	41.6259000000001	232.145900281372
4682200	42.1398000000001	-175.899566477083	42.1398000000001	-179.541237319641	42.1398000000001	232.004093375811
4739300	42.6537000000001	-163.268529092206	42.6537000000001	-190.699400395891	42.6537000000001	232.101356806504
4796400	43.1676	-145.679005750401	43.1676	-200.969060833341	43.1676	232.771132665524
4853500	43.6815	-125.919380932355	43.6815	-209.454192408056	43.6815	232.443803910949
4910600	44.1954000000001	-104.132167632062	44.1954000000001	-217.428409452475	44.1954000000001	231.893366237142
4967700	44.7093000000001	-82.7648618844601	44.7093000000001	-221.460319269078	44.7093000000001	232.206227016069
5024800	45.2232000000001	-58.5190900650716	45.2232000000001	-224.818030190522	45.2232000000001	232.086464674294
5081900	45.7371000000001	-32.8501483191796	45.7371000000001	-227.850631642802	45.7371000000001	231.000662653431
5139000	46.2510000000001	-7.68927938155134	46.2510000000001	-229.826507706166	46.2510000000001	230.091826034566
5196100	46.7649000000001	17.8040270793251	46.7649000000001	-230.202180780795	46.7649000000001	229.301791238777
5253200	47.2788000000001	44.0263763323648	47.2788000000001	-231.614532234417	47.2788000000001	226.78713060762
5310300	47.7927000000001	71.194776373351	47.7927000000001	-232.700777637869	47.7927000000001	222.631549325019
5367400	48.3066000000001	89.4594576185878	48.3066000000001	-231.699683238281	48.3066000000001	221.29448990505
5424500	48.8205000000001	113.662447456918	48.8205000000001	-231.853117781868	48.8205000000001	213.893275064807
5481600	49.3344000000001	134.629632282915	49.3344000000001	-232.661051942282	49.3344000000001	205.713423304876
5538700	49.8483000000001	153.673538387073	49.8483000000001	-232.538128604454	49.8483000000001	197.532866168963
5595800	50.3622000000001	168.183026320339	50.3622000000001	-231.87835421252	50.3622000000001	186.214008687518
5652900	50.8761000000001	182.807095707391	50.8761000000001	-232.079122978412	50.8761000000001	172.188182283131
5710000	51.3900000000001	194.949648642804	51.3900000000001	-232.249013185489	51.3900000000001	156.999188238769
