"Time [ns]"	"Moving1.Position [deg]"	"FL_a [Wb]"	"Moving1.Position [deg]"	"FL_c [Wb]"	"Moving1.Position [deg]"	"FL_b [Wb]"
0	0	-0.190628404512842	0	0.229909351233677	0	-0.0257973718959763
57100	0.5139	-0.178970294994207	0.5139	0.237794454630746	0.5139	-0.0390801901039601
114200	1.0278	-0.166779996206463	1.0278	0.244472487473799	1.0278	-0.0523382496490545
171300	1.5417	-0.154265231858354	1.5417	0.250002240499084	1.5417	-0.0655757198325773
228400	2.0556	-0.141564377477679	2.0556	0.254183656262614	2.0556	-0.078855468987904
285500	2.5695	-0.128656563357393	2.5695	0.256945918867348	2.5695	-0.092092732318532
342600	3.0834	-0.11557724811146	3.0834	0.258251949012752	3.0834	-0.105255836182131
399700	3.5973	-0.102448955132737	3.5973	0.258097413348051	3.5973	-0.118371562715296
456800	4.1112	-0.0892750274182949	4.1112	0.256502662770803	4.1112	-0.131426493014463
513900	4.6251	-0.076032964556777	4.6251	0.253314219344884	4.6251	-0.144279748806669
571000	5.139	-0.0627706387960652	5.139	0.248958953769783	5.139	-0.156994467880595
628100	5.6529	-0.0495391942058188	5.6529	0.24322201605743	5.6529	-0.169454856096614
685200	6.16679999999998	-0.0362767886834573	6.16679999999998	0.236234274256919	6.16679999999998	-0.181487815748647
742300	6.68069999999999	-0.0229707448370159	6.68069999999999	0.22802273200872	6.68069999999999	-0.193056179653286
799400	7.1946	-0.00972181155302297	7.1946	0.21896540135286	7.1946	-0.204122272369403
856500	7.70850000000001	0.00352340649739288	7.70850000000001	0.20903315039823	7.70850000000001	-0.214444995409063
913600	8.22240000000001	0.0167698111847831	8.22240000000001	0.198302930106455	8.22240000000001	-0.22395467812553
970700	8.73630000000002	0.0300532589400458	8.73630000000002	0.186948538032297	8.73630000000002	-0.23256552195129
1027800	9.25020000000003	0.0433316698694471	9.25020000000003	0.175122327123629	9.25020000000003	-0.240087024901812
1084900	9.76409999999998	0.0565809635791241	9.76409999999998	0.162835681953064	9.76409999999998	-0.246402419538126
1142000	10.278	0.0698092258688048	10.278	0.150202498603909	10.278	-0.251344881484924
1199100	10.7919	0.0830897560611637	10.7919	0.13747041630737	10.7919	-0.255229096764661
1256200	11.3058	0.0963040761467536	11.3058	0.124486891036431	11.3058	-0.257539153951912
1313300	11.8197	0.109434013343487	11.8197	0.111379495640433	11.8197	-0.258346568965966
1370400	12.3336	0.122558731104017	12.3336	0.0982429769074254	12.3336	-0.257674677015176
1427500	12.8475	0.135545536504832	12.8475	0.0850344394117196	12.8475	-0.255653455369133
1484600	13.3614	0.14836120673409	13.3614	0.0717844304434043	13.3614	-0.252127272637967
1541700	13.8753	0.160987851905499	13.8753	0.0585345026071112	13.8753	-0.247235917483577
1598800	14.3892	0.173343110185118	14.3892	0.0452877535886418	14.3892	-0.241093354243034
1655900	14.9031	0.185237405008696	14.9031	0.0320050947279061	14.9031	-0.233724819933879
1713000	15.417	0.196629599317141	15.417	0.0187292564644935	15.417	-0.22526083833554
1770100	15.9309	0.207434401275898	15.9309	0.0054837905900729	15.9309	-0.215772689757745
1827200	16.4448	0.217579214643725	16.4448	-0.00777344016252623	16.4448	-0.205668481068944
1884300	16.9587	0.226790887437598	16.9587	-0.0210374378442486	16.9587	-0.194706549982998
1941400	17.4726	0.235062253772756	17.4726	-0.0343252855972322	17.4726	-0.183223231646988
1998500	17.9865	0.242226256762375	17.9865	-0.047599854112889	17.9865	-0.171221129770504
2055600	18.5004	0.248152866256393	18.5004	-0.0608383670231717	18.5004	-0.158809891573105
2112700	19.0143	0.252783610973447	19.0143	-0.0740955283593743	19.0143	-0.146145779831942
2169800	19.5282	0.256046122877596	19.5282	-0.087354770796573	19.5282	-0.133320431869015
2226900	20.0421	0.257930182799815	20.0421	-0.100548440344156	20.0421	-0.120286198440956
2284000	20.556	0.258289687482826	20.556	-0.113670085975576	20.556	-0.107167110278948
2341100	21.0699	0.257214076807175	21.0699	-0.12676143760676	21.0699	-0.09401867027184
2398200	21.5838	0.254522702207371	21.5838	-0.139666587705984	21.5838	-0.0807716839928521
2455300	22.0977	0.250687762942388	22.0977	-0.152460177833193	22.0977	-0.0675148156842196
2512400	22.6116	0.245392818377231	22.6116	-0.16502381218511	22.6116	-0.0542870732981116
2569500	23.1255	0.238845174505024	23.1255	-0.177229297436443	23.1255	-0.0410337342394551
2626600	23.6394	0.231073965469388	23.6394	-0.188981496055915	23.6394	-0.0277430949817831
2683700	24.1533	0.222312947345184	24.1533	-0.200218046645303	24.1533	-0.0144672948394241
2740800	24.6672	0.212679888825951	24.6672	-0.210833748125826	24.6672	-0.00122628962015706
2797900	25.1811000000001	0.202191454888234	25.1811000000001	-0.220633944309242	25.1811000000001	0.0120262839290934
2855000	25.695	0.191035713085235	25.695	-0.229594619059232	25.695	0.0252895789745507
2912100	26.2089	0.179399836024826	26.2089	-0.237532910631446	26.2089	0.0385815854605725
2969200	26.7228	0.167288559870898	26.7228	-0.244287590889894	26.7228	0.0518433229385812
3026300	27.2367	0.154742948999558	27.2367	-0.24972193641333	27.2367	0.0650705755999485
3083400	27.7506	0.142051180295494	27.7506	-0.254049257062194	27.7506	0.0783485807139221
3140500	28.2645	0.129134627935865	28.2645	-0.25687501362921	28.2645	0.0915840684923888
3197600	28.7784000000001	0.116067402786727	28.7784000000001	-0.258210561265368	28.7784000000001	0.1047428499194
3254700	29.2923000000001	0.102938694386441	29.2923000000001	-0.258123730468987	29.2923000000001	0.117871308539617
3311800	29.8062000000001	0.0897666504757661	29.8062000000001	-0.256575206959596	29.8062000000001	0.130922706701285
3368900	30.3201	0.076525344388491	30.3201	-0.253562949455605	30.3201	0.1437922669164
3426000	30.834	0.063255865876147	30.834	-0.249076689229378	30.834	0.156479440792267
3483100	31.3479	0.0500193629674451	31.3479	-0.24344355842912	31.3479	0.168974833527228
3540200	31.8618	0.0367549616931692	31.8618	-0.236508578332713	31.8618	0.181043296509571
3597300	32.3757	0.0234667288628404	32.3757	-0.228416284183555	32.3757	0.192614037452493
3654400	32.8896000000001	0.0102078716598964	32.8896000000001	-0.219270646543819	32.8896000000001	0.203667006050557
3711500	33.4035000000001	-0.003042114030905	33.4035000000001	-0.209409514447432	33.4035000000001	0.214053898140275
3768600	33.9174000000001	-0.0162928942673786	33.9174000000001	-0.198699450137889	33.9174000000001	0.223578470184444
3825700	34.4313000000001	-0.0295692626503586	34.4313000000001	-0.187393320478626	34.4313000000001	0.232218980189992
3882800	34.9452	-0.042858287227687	34.9452	-0.175572839842597	34.9452	0.239822237120126
3939900	35.4591	-0.0561071385634532	35.4591	-0.163302197429708	35.4591	0.246178964732572
3997000	35.973	-0.0693441422660119	35.973	-0.150704200437992	35.973	0.251281005314673
4054100	36.4869000000001	-0.0826067381355978	36.4869000000001	-0.137926344198964	36.4869000000001	0.255004877448107
4111200	37.0008000000001	-0.0958407915045835	37.0008000000001	-0.124960198186095	37.0008000000001	0.257454442789091
4168300	37.5147000000001	-0.108973809697668	37.5147000000001	-0.11186736179035	37.5147000000001	0.25832722103969
4225400	38.0286000000001	-0.122088773267326	38.0286000000001	-0.0987338545360505	38.0286000000001	0.257763478518026
4282500	38.5425	-0.135086176853787	38.5425	-0.0855431376690979	38.5425	0.255654453933397
4339600	39.0564	-0.147903731425229	39.0564	-0.0722666516678057	39.0564	0.252254252730802
4396700	39.5703	-0.160545707003339	39.5703	-0.0590240573392045	39.5703	0.247427175165906
4453800	40.0842000000001	-0.172907147136524	40.0842000000001	-0.0457833674633455	40.0842000000001	0.241321829584671
4510900	40.5981000000001	-0.184838872269938	40.5981000000001	-0.0324992770361176	40.5981000000001	0.233991082984517
4568000	41.1120000000001	-0.196252154580867	41.1120000000001	-0.0192133946259403	41.1120000000001	0.225568198652469
4625100	41.6259000000001	-0.207125314094568	41.6259000000001	-0.00595786371987397	41.6259000000001	0.216241789179522
4682200	42.1398000000001	-0.217169179340409	42.1398000000001	0.00728957001188488	42.1398000000001	0.205989984528571
4739300	42.6537000000001	-0.226491812351574	42.6537000000001	0.0205425574855362	42.6537000000001	0.195101048765965
4796400	43.1676	-0.234810083579922	43.1676	0.0338337891607375	43.1676	0.183625715392382
4853500	43.6815	-0.24200008023116	43.6815	0.0471063303640528	43.6815	0.171665881005882
4910600	44.1954000000001	-0.24794602700295	44.1954000000001	0.0603474415761936	44.1954000000001	0.159250718826145
4967700	44.7093000000001	-0.252671900616553	44.7093000000001	0.0736064171388111	44.7093000000001	0.146605334595881
5024800	45.2232000000001	-0.256013340659269	45.2232000000001	0.0868585542717134	45.2232000000001	0.133768225072002
5081900	45.7371000000001	-0.257889084128294	45.7371000000001	0.100048692109224	45.7371000000001	0.120757954005198
5139000	46.2510000000001	-0.25832814198098	46.2510000000001	0.113186935375798	46.2510000000001	0.107634860415176
5196100	46.7649000000001	-0.257311532034751	46.7649000000001	0.126280067655532	46.7649000000001	0.0944903158925925
5253200	47.2788000000001	-0.254797625946173	47.2788000000001	0.139229612813227	47.2788000000001	0.0812651261020072
5310300	47.7927000000001	-0.250732404215254	47.7927000000001	0.151941874279686	47.7927000000001	0.0679779116988849
5367400	48.3066000000001	-0.245624269185233	48.3066000000001	0.164577789653264	48.3066000000001	0.054747859785979
5424500	48.8205000000001	-0.239134143435443	48.8205000000001	0.176791095659465	48.8205000000001	0.0415090467606344
5481600	49.3344000000001	-0.231446791432089	49.3344000000001	0.188537332130173	49.3344000000001	0.0282241006947301
5538700	49.8483000000001	-0.222672032390187	49.8483000000001	0.199816458788421	49.8483000000001	0.0149461735514157
5595800	50.3622000000001	-0.213068781587295	50.3622000000001	0.210449278684478	50.3622000000001	0.00170591952588079
5652900	50.8761000000001	-0.202630496422403	50.8761000000001	0.220281223892845	50.8761000000001	-0.0115457983961865
5710000	51.3900000000001	-0.1914988714849	51.3900000000001	0.229245877541278	51.3900000000001	-0.0248072170490774
