"Time [ms]"	"Moving1.Torque [mNewtonMeter]"
0	0.0797466229885586
0.0571	-2.04333966739622
0.1142	-4.60906066108901
0.1713	-2.09663957740047
0.2284	-3.37907590701435
0.2855	-1.71423464875451
0.3426	-0.018460619861694
0.3997	-1.501965300179
0.4568	-1.44198176024924
0.5139	0.309632949586734
0.571	-1.3446724960654
0.6281	-2.18841127878674
0.6852	-1.57939954202572
0.7423	-7.3488967800644
0.7994	-0.458761401160387
0.8565	-0.175714032459825
0.9136	-3.50039384563911
0.9707	-1.24660108703582
1.0278	-2.28212883422243
1.0849	-2.76733231162959
1.142	-1.2311000136232
1.1991	-0.709200320788286
1.2562	-0.0645889953851724
1.3133	-1.10464515943019
1.3704	0.531323642305048
1.4275	1.55487448857187
1.4846	-0.337771328569455
1.5417	-3.02426855483526
1.5988	-1.0504162082079
1.6559	1.5552151081953
1.713	-0.267444819487711
1.7701	-2.50620350488997
1.8272	-0.875539526682698
1.8843	-1.75960095856834
1.9414	-2.72114167858383
1.9985	0.680092275206641
2.0556	-3.6370925561273
2.1127	-4.31410202610525
2.1698	-6.09098874581915
2.2269	-1.47245453282325
2.284	-1.73850816068023
2.3411	-2.99301009585334
2.3982	-6.75649627922505
2.4553	1.60566549222826
2.5124	0.554084318437734
2.5695	0.0144636595809897
2.6266	-0.305071259187026
2.6837	0.76422484623273
2.7408	0.649384221704866
2.7979	-5.26092011046659
2.855	-0.715816872343775
2.9121	-2.04674982620473
2.9692	-1.42689996303964
3.0263	-6.88508806590535
3.0834	-2.61983254629446
3.1405	-1.72804866114151
3.1976	-1.38048762985931
3.2547	-3.26604747592185
3.3118	-2.3014620747719
3.3689	-1.32802478333576
3.426	-1.2826666562364
3.4831	2.43027090138688
3.5402	0.180763303918644
3.5973	0.820490662043225
3.6544	-15.1778400255462
3.7115	-1.11966614772978
3.7686	-0.282073308860007
3.8257	-0.516909566627229
3.8828	-3.2834440001339
3.9399	-0.797873565095972
3.997	-1.70934099064509
4.0541	3.1993062993562
4.1112	0.274590097797069
4.1683	-1.80130349261931
4.2254	-3.11996124662808
4.2825	-4.4084226798214
4.3396	1.00665132410513
4.3967	-0.541884610128269
4.4538	-2.94585067750423
4.5109	-3.584205036047
4.568	-1.5542621143117
4.6251	-1.2469747921005
4.6822	-3.27871082276384
4.7393	-1.1287275322097
4.7964	-2.12386294763833
4.8535	-3.12381038028747
4.9106	-0.303008032609937
4.9677	-3.22563880231553
5.0248	-4.479390110841
5.0819	-4.49260700536239
5.139	-2.19713042893079
5.1961	0.0392416618750345
5.2532	1.07542044236526
5.3103	4.8827634188298
5.3674	0.750888290862172
5.4245	1.11273437213066
5.4816	0.154541055954565
5.5387	-0.61661374828102
5.5958	-0.45692956086842
5.6529	0.0101573974555536
5.71	-6.01775622818179
