"Time [ns]"	"NodeVoltage(Ie_a) [mV]"	"NodeVoltage(Ie_b) [mV]"	"NodeVoltage(Ie_c) [mV]"	"NodeVoltage(Iv_a) [mV]"	"NodeVoltage(Iv_b) [mV]"	"NodeVoltage(Iv_c) [mV]"
114200	-0.0144880476467664	-0.023226931234577	0.0377149771476191	-0.0144877485865891	-0.0232264517876501	0.037714198640515
228400	241827.771535294	-241827.312508067	-22138.9349097859	249173.044528243	-249173.042489698	-22138.4779211043
342600	235244.762407173	-235244.332066311	-20803.7931009977	249155.967494419	-249155.966582343	-20803.363672211
456800	228845.412039358	-228845.032493651	-18361.2231020965	249144.974689216	-249144.974153154	-18360.8440924519
571000	222534.388805726	-222534.073091709	-15279.2492387502	249136.752918385	-249136.752596385	-15278.933846733
685200	216320.982662092	-216320.708501191	-13270.171582883	249130.118321189	-249130.118081226	-13269.8976619454
799400	210158.793524588	-210158.574827501	-10586.3925359131	249124.468597021	-249124.468422707	-10586.1740131404
913600	204126.27469662	-204126.067541275	-10020.2696339719	249119.571591754	-249119.571273354	-10020.0627970268
1027800	198192.094817686	-198191.858880113	-11414.4220664801	249115.21117296	-249115.210850221	-11414.1864516468
1142000	192317.654068119	-192317.349926267	-14722.0382990356	249111.242099014	-249111.241847317	-14721.7344088815
1256200	186489.295625414	-186488.918416283	-18256.7846383653	249107.578555438	-249107.578200153	-18256.4077845192
1370400	180691.903452555	-180691.43968285	-22442.3986793315	249104.157453954	-249104.15693688	-22441.9354266998
1484600	174620.844197944	-174620.086232481	-36703.2071181931	249100.77296537	-249100.77262183	-36702.4494962698
1598800	168360.134074217	-168359.145561013	-47863.4954493466	249097.463525519	-249097.463002585	-47862.5074590778
1713000	161855.302157547	-161854.112118469	-57621.278658687	249094.18918623	-249094.188555205	-57620.0892506336
1827200	154936.74611188	-154935.325659248	-68793.2949201011	249090.863827773	-249090.863392837	-68791.8749024045
1941400	147469.302667754	-147467.753300549	-75018.3972300632	249087.431081204	-249087.430227973	-75016.8487160882
2055600	138927.803523064	-138926.187147537	-78274.6362177	249083.673703162	-249083.673055623	-78273.0204897124
2169800	128187.340110887	-128185.967022839	-66491.6061045262	249079.165065418	-249079.164484328	-66490.2335975675
2284000	114249.433572344	-114248.402158086	-49942.20526729	249073.615483355	-249073.614967926	-49941.17436846
2398200	98937.8181578076	-98937.0747575981	-36005.8746310627	249067.847842649	-249067.847670176	-36005.1314033262
2512400	84297.4431095753	-84296.9351626734	-24608.5127326111	249062.581109043	-249062.581127418	-24608.0047673338
2626600	70394.6105275668	-70394.4041672549	-9993.32966618444	249057.768345559	-249057.768266198	-9993.12338523413
2740800	57445.6707115559	-57445.72049252	2411.13864578784	249053.426839477	-249053.426850082	2411.08887542927
2855000	46755.9721352827	-46756.0735508549	4893.59172002155	249049.931998147	-249049.932400908	4893.49070721033
2969200	38411.9448956835	-38411.9985613278	2595.4396280582	249047.255340198	-249047.255431151	2595.38605336672
3083400	31498.2681568412	-31498.3225540329	2611.46298394087	249045.068599402	-249045.069091153	2611.40907849978
3197600	26491.9571705761	-26491.8850333378	-3486.54701876817	249043.501091776	-249043.500923335	-3486.4750499712
3311800	22772.5335371313	-22772.346109411	-9041.06120418211	249042.345673749	-249042.344870304	-9040.87457990647
3426000	20092.1967712165	-20091.8597294293	-16315.004406318	249041.517002598	-249041.516732745	-16314.6676343836
3540200	18309.2976744266	-18308.7504175862	-26541.0117884024	249040.967239735	-249040.967838482	-26540.463932815
3654400	16636.7986324132	-16636.1554344756	-31185.9002730335	249040.453224232	-249040.453760813	-31185.2565385154
3768600	15639.6661700646	-15638.7894409545	-42443.7935401823	249040.148128078	-249040.147516894	-42442.9174222568
3882800	15007.8623739067	-15006.7617287735	-53278.6031727307	249039.955126746	-249039.95424927	-53277.5034050744
3997000	14655.86097872	-14654.5260383559	-64671.2902725357	249039.846965177	-249039.846957317	-64669.9553400318
4111200	14238.1807545947	-14236.6840136466	-72462.7605360865	249039.719328595	-249039.718349081	-72461.2647746523
4225400	14042.9364425824	-14041.1902831918	-84572.2762479296	249039.659811644	-249039.659374034	-84570.5305261481
4339600	13843.7416150774	-13841.7954537985	-94293.7976874126	249039.598395031	-249039.59862263	-94291.8512985342
4453800	13614.1174239663	-13611.9677864939	-104104.273536556	249039.529024903	-249039.528278899	-104102.124645087
4568000	74392.4141590327	414375.936371961	-237965.215233743	249058.448100798	250905.811178784	-249161.123982331
4682200	115084.171395489	363235.423288307	-227493.292972407	249073.714225126	250895.631340565	-249143.043854302
4796400	142010.745640592	325770.986769525	-216942.477831493	249084.828961771	250885.156830222	-249130.731213368
4910600	158215.335294857	299763.654438945	-207134.178977926	249092.253516301	250874.502545011	-249121.945305435
5024800	166349.753306161	283911.606216363	-199415.879468661	249096.315361825	250865.226697074	-249116.062005036
5139000	169516.516099627	274166.68422644	-192841.056960736	249098.013874986	250855.709554089	-249111.580063744
5253200	169439.57509348	268295.176287802	-186896.701747409	249098.001278831	250847.874615257	-249107.826260214
5367400	167736.398822831	264096.382863352	-180999.758412803	249097.137443591	250840.219948462	-249104.334118673
5481600	164560.335311295	261184.112660755	-174916.034611154	249095.527894765	250833.819011268	-249100.933545135
5595800	159879.356739556	259176.472265039	-168231.794185718	249093.219927433	250828.211301253	-249097.396409809
5710000	152089.126374467	257672.180524754	-158941.535539691	249089.522186011	250823.006840917	-249092.757667399
5824200	139770.320382682	256408.329960901	-145363.390589691	249084.012248578	250817.710473278	-249086.462967963
