"Time [ms]"	"FL_a [Wb]"	"FL_c [Wb]"	"FL_b [Wb]"
0	-0.19045276379327	0.229707144045303	-0.0257498718611888
0.1142	-0.190452762347103	0.229707151453055	-0.0257498714130028
0.2284	-0.160408362487381	0.229606553437755	-0.0509388821516179
0.3426	-0.131352734129801	0.22942143675716	-0.0756131083835267
0.4568	-0.103316362756649	0.229226810395041	-0.0998449857810375
0.571	-0.0763204982810992	0.229064357412841	-0.123675939641603
0.6852	-0.0502098647253122	0.228955681142394	-0.146972987233893
0.7994	-0.0250440094157501	0.228912436197985	-0.169807375399541
0.9136	-0.00056395639051951	0.22893695387972	-0.191949739841021
1.0278	0.0234592007303857	0.229023046776306	-0.213193630235445
1.142	0.0472488525234506	0.229168765707902	-0.233329295887963
1.2562	0.0708600211686674	0.229397931978667	-0.252312239307282
1.3704	0.0943954132216821	0.229735386736231	-0.270046825043561
1.4846	0.118904619898358	0.230111386759346	-0.28542093260974
1.5988	0.143964028680796	0.230478057070966	-0.298814865524328
1.713	0.169572223760895	0.231022026616042	-0.310174285569872
1.8272	0.195784108771427	0.231683940943558	-0.319349791127464
1.9414	0.221908231264019	0.232399968122741	-0.326907480421081
2.0556	0.247352283260479	0.233039501512528	-0.333194354133918
2.1698	0.27023370838135	0.233688590949052	-0.339590760713498
2.284	0.28900498118117	0.233709178611804	-0.346913940718967
2.3982	0.304253225034864	0.233546852775485	-0.354263009582827
2.5124	0.316914629669085	0.233771197217197	-0.36085508297944
2.6266	0.326939020816863	0.234615285611055	-0.366908797297394
2.7408	0.334574415430644	0.235965736626351	-0.372393999642425
2.855	0.34059596336187	0.237206600671737	-0.377051527355659
2.9692	0.345497744480452	0.238018136911556	-0.38092304052736
3.0834	0.349438770527549	0.238660289789532	-0.384176225116406
3.1976	0.352784533801343	0.238582507812648	-0.386881216769326
3.3118	0.355675741699331	0.237840603213647	-0.389191234152505
3.426	0.358246590855137	0.236253749986042	-0.391209404269518
3.5402	0.360629578462092	0.233514832167235	-0.39300819782524
3.6544	0.362752646122087	0.230176547512114	-0.394684901643008
3.7686	0.364826099941867	0.225616870254652	-0.396183447441153
