"Time [ns]"	"SolidLoss [mW]"	"CoreLoss [mW]"	"p_cu [W]"	"P_out [W]"
0	0	0		0
114200	4.98384244614632E-09	1.05969042983067E-05	9.05459546521707E-20	7.47899063250442E-09
228400	6353.81609282421	8579.34119103243	10.5589808720959	0.220670816757644
342600	7495.49613277464	8642.68274480575	37.8723289698121	1.60833401115714
456800	8085.01961479931	8292.90377584092	80.6418664675544	5.08725164272797
571000	8450.72204728005	7852.25820802967	138.492009130188	11.4720582216804
685200	8631.23854321925	7371.32680509955	210.655258293795	21.478346405532
799400	8798.98290213903	6781.05320398621	297.129618157641	35.6946007485632
913600	8766.98688075159	6237.80736632714	396.165571783276	54.655049972394
1027800	8610.38090855491	5809.84239012601	507.470797970619	78.7638135761732
1142000	8411.25945901924	5472.3081033492	631.218962921256	108.355971716052
1256200	8217.51157386491	5131.16172301115	767.333259332152	143.701578794565
1370400	7993.95092015797	4868.97197756379	915.903755366574	185.048708988979
1484600	8358.18613182714	4799.19023618988	1085.58047307273	232.38109250348
1598800	8404.02605726486	4679.09558812087	1275.65482105677	285.661654667819
1713000	7812.94993654017	4514.83975079371	1489.37909472656	344.746663584398
1827200	7402.69703838151	4420.19416826223	1734.85941005637	409.448123417441
1941400	7262.50313962995	4262.65570923413	2020.82218820785	479.437954907141
2055600	7105.14473143503	4040.96726483439	2374.65630521872	555.509263462775
2169800	8130.76405221083	3661.48452132533	2860.07813455806	640.469017691794
2284000	10483.4671544565	3008.7007048452	3557.27965149265	732.560432070375
2398200	13848.8673406034	2532.42153276105	4410.79009677611	830.06129262709
2512400	14537.8519333686	1921.86356437124	5312.64860963028	931.870185119356
2626600	11615.9727240078	1197.22277415481	6246.68509126137	1035.71360672091
2740800	7759.89956280205	749.939125453596	7184.64240156412	1139.90878307961
2855000	5713.86876295796	616.229111676432	8008.38077548471	1243.41809165926
2969200	4697.97053769344	557.856326133716	8682.43106092725	1341.0528121685
3083400	4289.0644461971	530.245736431275	9261.5652946854	1438.31002689736
3197600	4289.24195010031	554.273983778998	9692.60385880276	1527.22364327484
3311800	4457.29291957563	610.496026140447	10019.1918027035	1610.76060512617
3426000	4740.40134599728	681.103461430581	10257.8998704952	1686.92890868247
3540200	5218.13811888445	783.33653517122	10418.2445691446	1750.62365318305
3654400	5301.43152510044	856.857972532924	10569.7863550494	1810.12325562754
3768600	5802.3366225766	986.332277177806	10660.6633004593	1855.04815921234
3882800	6182.83152630179	1128.44726090189	10718.449671313	1886.18999227103
3997000	6656.93744049725	1291.44313482089	10750.717372893	1899.21518731293
4111200	6845.82332867855	1418.28318933341	10789.0633514758	1903.69622073962
4225400	7241.70285198394	1602.41820234397	10807.0196156832	1889.52500953675
4339600	7686.9871149469	1765.31007150188	10825.3520220831	1857.82300674896
4453800	8186.47606684316	1936.32079172506	10846.5030011246	1808.25487710476
4568000	38378.8953636689	24468.0064586565	5612.13831862286	1688.49868242855
4682200	43889.3467848469	21232.6223596429	3037.3912089829	1598.0527008867
4796400	43422.2785875872	18173.7680573745	1771.90122314526	1531.10779424347
4910600	37375.6778567235	15384.0008177178	1214.45557333744	1498.92260905064
5024800	25528.5532544217	13309.8873117207	1018.50928331837	1505.84117804513
5139000	18965.7883604147	11426.9281254621	982.679853094973	1529.6182223899
5253200	14949.9296025411	10747.4668933324	1029.36371928841	1571.17379961028
5367400	13439.9236452862	10427.9973142687	1118.74059454189	1622.64766966268
5481600	11619.0728492479	10064.1088678418	1248.21199545986	1678.20299888951
5595800	10206.2265766821	9717.82671069622	1425.44544707336	1731.80721703477
5710000	9138.16209974618	9771.5414133852	1720.4726828637	1781.96354603069
5824200	10193.5267534123	9346.32997452545	2224.97201557688	1824.89031184693
5938400	17532.1688801532	9097.80461315215	3029.28799381314	1852.93048015575
6052600	21595.3309317746	7976.25782858632	4015.04347740774	1845.4835472559
6166800	34633.2614220158	24300.252697375	2204.32481493954	1698.14108730559
6281000	41371.5310590569	21529.5186939599	1292.28909346823	1571.85349644716
6395200	33758.7750570567	17567.692744635	853.263241856855	1485.56293604507
6509400	21026.0307207034	15038.2248971619	680.370604466839	1447.46741168664
6623600	14107.0620719653	13040.0978715237	628.951451665036	1434.4564140531
6737800	10426.7993659829	12288.2114705094	645.242328941727	1443.83086265439
6852000	8443.53061532471	11929.4385485784	696.461369866177	1458.03825587307
6966200	8056.57597263528	11418.3717486537	787.888430939675	1464.8084793483
7080400	8458.29732430355	11131.3405479862	919.139059917433	1456.8132783713
7194600	9092.67708515963	11005.1725633506	1095.16728199241	1433.44164685988
7308800	24899.2001592534	26874.269150543	656.573082050612	1307.20362854756
7423000	27286.9027778294	23978.4534257602	403.854373019346	1192.32991011892
7537200	19459.4106270002	19975.3701399087	279.77485239851	1100.30375627411
7651400	13224.8750035295	17705.0630652105	226.021940585879	1051.07583196673
7765600	9375.15955905003	17233.8931164274	207.516166589345	1044.35676908215
7879800	7030.12249177875	16788.0184859387	206.936291986528	1061.5042925737
7994000	5085.38880739649	16364.3852422098	220.479291902471	1094.42427349692
8108200	4170.27603778219	15779.5313021203	246.544756006805	1126.23412925345
8222400	4147.29323845445	15232.141329172	286.36101308149	1147.58099683495
8336600	4836.77264488448	14626.2019883774	348.730851726374	1146.31858333052
8450800	14973.7379209126	22122.771097607	201.823712280041	998.574181725204
8565000	11973.6044980638	20057.4647098746	133.804632410019	894.730514955549
8679200	8900.37773178402	19458.7587773764	103.549191650209	841.768489146647
8793400.00000001	6692.54576562087	19653.7871936562	95.0185208195085	837.979570590868
8907600.00000001	5950.05828577322	21751.2234051315	97.361522935447	874.840263072434
9021800.00000001	2503.78377650646	15354.6329301522	107.622394796994	902.024605964106
9136000.00000001	2183.36281598506	15848.7413086102	120.488727208956	923.509663756761
9250200.00000001	2198.49548935536	16532.1113528958	137.302577271711	941.235295287411
9364400.00000001	2783.44098548988	17458.5844477979	161.414703814722	952.322616327478
9478600.00000001	4630.00509400354	18394.1728920449	197.901308258405	954.158608499626
9592800.00000001	9264.89377231886	21194.4690979053	115.908235595005	820.282407233408
9707000.00000001	7640.78129730451	20852.5615493863	79.1662279559704	742.804139538068
9821200.00000001	5701.43831770742	21309.0849936059	65.8259472541955	720.771377873963
9935400.00000001	5457.58788020115	24220.9401017842	64.4824596164692	748.894070099057
10049600	1768.65413101623	17381.6411079289	70.5857042759742	769.113942165719
10163800	1564.76589613944	17804.1556395748	78.7624446483754	785.5233924022
10278000	1667.97427605043	18608.0604559031	89.8278678044699	799.780848496846
10392200	2081.87848256663	19527.0863069043	105.678484535283	808.194420569085
10506400	3317.90228767988	20671.4342498045	129.7760149305	807.031853507838
10620600	7578.21137067534	21136.7159915416	71.8370552646132	678.966721474544
10734800	6299.06412411536	21555.9851950725	47.1503080754257	613.032679102523
10849000	4514.31855128805	22305.7827166518	40.5815230578348	605.335063077419
10963200	2338.60503954416	21016.211091563	42.4188140305486	628.314684216715
11077400	1205.79932064479	19376.5550881211	46.3017464140599	640.949625385642
11191600	1167.08708709332	19937.9491472577	52.111745974442	655.513749727431
11305800	1378.10434175263	20811.1373991684	60.3873414301576	667.054550869558
11420000	1912.86107961875	21705.3761389515	72.9270220543544	675.204819095144
11534200	7000.1552920474	20841.909419383	34.6526014662253	541.138835900796
11648400	5746.09307059125	21516.2700820937	22.784087675034	476.878096570016
11762600	2082.94909781873	19492.8612416799	23.443811780287	482.258158418721
11876800	958.513413702576	19260.7186423375	25.3651210340989	500.632384828204
11991000	771.155909810751	19472.9106387505	27.4197496573044	514.38884397606
12105200	751.442156644455	19774.3214532013	30.4820867226514	525.423195065089
12219400	883.088001181862	20449.2513347647	35.1456590380668	538.594356497046
12333600	1235.70594964123	21374.1353598249	42.3653412002144	551.269854806058
12447800	1906.67668351378	22328.2434825045	54.0038710440428	560.783911769286
12562000	5655.8630930112	20560.2118577825	23.8721871918193	446.191513493128
12676200	6150.71783306025	23788.5346351663	15.5887031506532	400.903879915888
12790400	940.237873182998	18724.7308724016	16.8488487755319	417.139904668481
12904600	673.117185433033	19112.8165971764	18.1220988075944	429.501571155742
13018800	615.235467656957	19445.7367595709	19.8918505869303	439.063072881428
13133000	680.760256967475	19918.4703083595	22.78459369556	450.135144128758
13247200	920.598810406889	20801.8976190004	27.4714447419899	463.54735907262
