"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
0.1142	5.67100528459703E-07	-9.53409491241463E-07	3.8630896278176E-07
0.2284	1.63956345416972E-05	-0.763084955923608	0.763068560289066
0.3426	-4.24956938974758E-05	-1.52388695913438	1.52392945482828
0.4568	-8.02394932953211E-05	-2.31507057420794	2.31515081370123
0.571	-0.000137479465685072	-3.17602629921592	3.1761637786816
0.6852	-0.0002065294156587	-4.13555146568451	4.13575799510017
0.7994	-0.00026194236329451	-5.20359243463109	5.20385437699439
0.9136	-0.000289865156423131	-6.4080535331417	6.40834339829813
1.0278	-0.000271184458983664	-7.87305429176157	7.87332547622055
1.142	-0.000225251027912068	-9.85116207912725	9.85138733015516
1.2562	-0.000168327573015338	-12.2688555038412	12.2690238314142
1.3704	1.40217219022576	-10.3538643391869	8.95169214896115
1.4846	2.67224330489729	-9.16495599156585	6.49271268666856
1.5988	3.89481526747449	-8.53888403973287	4.64406877225838
1.713	4.91793384784558	-8.38830920270656	3.47037535486098
1.8272	5.83661928357475	-8.42665929005783	2.59004000648308
1.9414	6.68758575947369	-8.58099566902998	1.89340990955628
2.0556	7.49171978556989	-8.80787597890625	1.31615619333636
2.1698	8.26941495561248	-9.07825888103181	0.808843925419326
2.284	9.04794447142784	-9.39398512606886	0.346040654641021
2.3982	9.84409435917434	-9.84453865236827	0.000444293193931244
2.5124	10.6593345065898	-10.6595078209549	0.000173314365010668
2.6266	11.6979973282223	-11.6981405076149	0.000143179392559034
2.7408	13.0250910567988	-13.025202383514	0.000111326715284576
2.855	14.5359778549187	-14.5360580389485	8.01840297857126E-05
2.9692	15.9884990189789	-15.9885559593267	5.69403477452823E-05
3.0834	17.3649547219113	-17.3649820174659	2.72955545703724E-05
3.1976	18.6610025503005	-18.6610010162986	-1.53400194946585E-06
3.3118	19.7460130248494	-19.7460027637601	-1.02610893399913E-05
3.426	20.6099556558341	-20.6099453838013	-1.02720327888051E-05
3.5402	21.2853742892242	-21.285367900799	-6.38842517020066E-06
3.6544	21.8239443345977	-21.8239393438094	-4.99078832305599E-06
3.7686	22.2078292901524	-22.2078350339006	5.74374821482593E-06
3.8828	22.4944732541022	-22.4944878763478	1.46222456187672E-05
3.997	22.6968978620981	-22.6969245657425	2.6703644468995E-05
4.1112	22.8440645002138	-22.8441062377831	4.17375693153588E-05
4.2254	22.957886330792	-22.9579398097356	5.34789436557048E-05
4.3396	23.0278539389163	-23.0279243719063	7.04329899292588E-05
4.4538	23.0778071787307	-23.0778940343946	8.6855663923302E-05
4.568	23.1102272669604	-23.1103319957099	0.000104728749498406
4.6822	23.1228031488999	-23.1229270230648	0.00012387416486348
4.7964	23.1386679824765	-23.138806293028	0.000138310551463405
4.9106	23.1484105916554	-23.1485680771343	0.000157485478936792
5.0248	23.1597610147355	-23.1599344189726	0.000173404237052921
5.139	23.1734876051565	-23.1736777169119	0.000190111755411948
5.2532	17.2361720145668	-16.1138236700919	-1.12234834447495
5.3674	13.2734581555823	-11.1001762239564	-2.17328193162595
5.4816	10.6613418536075	-7.42517289978279	-3.23616895382467
5.5958	9.07939201526553	-4.83710418710226	-4.24228782816328
5.71	8.30489124048264	-3.26347666152931	-5.04141457895333
5.8242	8.00639143606107	-2.27761711891847	-5.7287743171426
5.9384	8.0028262558436	-1.65271655844943	-6.35010969739417
6.0526	8.15044096458122	-1.17835597516417	-6.97208498941705
