"Time [ns]"	"NodeVoltage(Ivca1) [mV]"	"NodeVoltage(Ivca2) [mV]"	"NodeVoltage(Ivcb1) [mV]"	"NodeVoltage(Ivcb2) [mV]"	"NodeVoltage(Ivcc1) [mV]"	"NodeVoltage(Ivcc2) [mV]"
114200	-1000	-1000	-1000	1000	1000	-1000
228400	-1000	-1000	-1000	1000	1000	-1000
342600	-1000	-1000	-1000	1000	1000	-1000
456800	-1000	-1000	-1000	1000	1000	-1000
571000	-1000	-1000	-1000	1000	1000	-1000
685200	-1000	-1000	-1000	1000	1000	-1000
799400	-1000	-1000	-1000	1000	1000	-1000
913600	-1000	-1000	-1000	1000	1000	-1000
1027800	-1000	-1000	-1000	1000	1000	-1000
1142000	-1000	-1000	-1000	1000	1000	-1000
1256200	1000	-1000	-1000	1000	-1000	-1000
1370400	1000	-1000	-1000	1000	-1000	-1000
1484600	1000	-1000	-1000	1000	-1000	-1000
1598800	1000	-1000	-1000	1000	-1000	-1000
1713000	1000	-1000	-1000	1000	-1000	-1000
1827200	1000	-1000	-1000	1000	-1000	-1000
1941400	1000	-1000	-1000	1000	-1000	-1000
2055600	1000	-1000	-1000	1000	-1000	-1000
2169800	1000	-1000	-1000	1000	-1000	-1000
2284000	1000	-1000	-1000	1000	-1000	-1000
2398200	1000	-1000	-1000	1000	-1000	-1000
2512400	1000	-1000	-1000	1000	-1000	-1000
2626600	1000	-1000	-1000	1000	-1000	-1000
2740800	1000	-1000	-1000	1000	-1000	-1000
2855000	1000	-1000	-1000	1000	-1000	-1000
2969200	1000	-1000	-1000	1000	-1000	-1000
3083400	1000	-1000	-1000	1000	-1000	-1000
3197600	1000	-1000	-1000	1000	-1000	-1000
3311800	1000	-1000	-1000	1000	-1000	-1000
3426000	1000	-1000	-1000	1000	-1000	-1000
3540200	1000	-1000	-1000	1000	-1000	-1000
3654400	1000	-1000	-1000	1000	-1000	-1000
3768600	1000	-1000	-1000	1000	-1000	-1000
3882800	1000	-1000	-1000	1000	-1000	-1000
3997000	1000	-1000	-1000	1000	-1000	-1000
4111200	1000	-1000	-1000	1000	-1000	-1000
4225400	1000	-1000	-1000	1000	-1000	-1000
4339600	1000	-1000	-1000	1000	-1000	-1000
4453800	1000	-1000	-1000	1000	-1000	-1000
4568000	1000	-1000	-1000	1000	-1000	-1000
4682200	1000	-1000	-1000	1000	-1000	-1000
4796400	1000	-1000	-1000	1000	-1000	-1000
4910600	1000	-1000	-1000	1000	-1000	-1000
5024800	1000	-1000	-1000	1000	-1000	-1000
5139000	1000	-1000	-1000	-1000	-1000	1000
5253200	1000	-1000	-1000	-1000	-1000	1000
5367400	1000	-1000	-1000	-1000	-1000	1000
5481600	1000	-1000	-1000	-1000	-1000	1000
5595800	1000	-1000	-1000	-1000	-1000	1000
5710000	1000	-1000	-1000	-1000	-1000	1000
5824200	1000	-1000	-1000	-1000	-1000	1000
5938400	1000	-1000	-1000	-1000	-1000	1000
6052600	1000	-1000	-1000	-1000	-1000	1000
6166800	1000	-1000	-1000	-1000	-1000	1000
6281000	1000	-1000	-1000	-1000	-1000	1000
6395200	1000	-1000	-1000	-1000	-1000	1000
6509400	1000	-1000	-1000	-1000	-1000	1000
