"Time [ns]"	"NodeVoltage(Ie_a) [mV]"	"NodeVoltage(Ie_b) [mV]"	"NodeVoltage(Ie_c) [mV]"	"NodeVoltage(Iv_a) [mV]"	"NodeVoltage(Iv_b) [mV]"	"NodeVoltage(Iv_c) [mV]"
114200	-280.777444608753	472.043080860717	-191.265636257023	-280.771648841352	472.033337015716	-191.261688179424
228400	-8117.65156331924	-241372.202229592	241372.370417766	-8117.48399993422	-249170.930479131	249170.93110392
342600	21040.0684844473	-233578.621280631	233578.186178746	21039.6341784557	-249152.746002984	249152.745207091
456800	39727.4371086463	-225480.33089307	225479.509817523	39726.6170610248	-249140.352161476	249140.351133549
571000	68067.6415293558	-216671.464768228	216670.05828702	68066.2364892165	-249130.453546215	249130.452105146
685200	102255.349618696	-206856.374471782	206854.262029167	102253.238888068	-249121.710451078	249121.70873909
799400	129691.637844179	-195932.924358942	195930.245519115	129688.960793226	-249113.639040871	249113.637251998
913600	143517.246016032	-183615.541008701	183612.57706371	143514.283594134	-249105.848117409	249105.846594317
1027800	134267.878315174	-168634.97124231	168632.198294874	134265.106810003	-249097.586104114	249097.584661848
1142000	111524.872572929	-148408.933564385	148406.630376238	111522.570507424	-249087.810013066	249087.808890424
1256200	83340.9494311882	-123689.619685936	123687.898561258	83339.229123392	-249077.322935193	249077.322118312
1370400	234820.819112167	-143268.081898407	-342377.851366246	249151.018896275	-249084.575444897	-250891.557603863
1484600	221825.595326985	-155425.173919328	-317237.377321815	249135.921903035	-249091.024153131	-250881.853664062
1598800	209318.741458362	-161826.729009746	-298335.577408547	249123.753491952	-249094.123895816	-250873.194556066
1713000	198854.380500122	-163366.375671201	-286333.238364756	249115.664425104	-249094.895722863	-250866.002238077
1827200	189459.163154372	-162974.277551084	-277328.261695979	249109.412232506	-249094.735495476	-250858.052829722
1941400	180757.067667348	-161396.185799314	-270200.555116912	249104.194129169	-249093.961536801	-250849.905841246
2055600	172534.275244999	-159076.3421116	-264291.5999017	249099.651453524	-249092.834616022	-250840.483605802
2169800	164582.122348248	-156311.707420024	-259094.258673391	249095.543194607	-249091.513184169	-250827.873755605
2284000	156621.667937664	-153083.469785725	-254342.502774431	249091.660435657	-249089.997774149	-250805.967284
2398200	148481.242792044	-148476.700125756	-219984.18259154	249087.887142806	-249087.88515296	-219979.641915098
2512400	140145.798385121	-140144.026440189	-85809.7962270095	249084.197042469	-249084.196370347	-85808.0249541991
2626600	129526.181818964	-129524.717746039	-70889.8014390403	249079.714513396	-249079.713733863	-70888.3381456483
2740800	115957.84940677	-115956.711676414	-55119.1001130726	249074.280007253	-249074.280035927	-55117.9623540424
2855000	100510.732620601	-100509.913071545	-39699.9775183426	249068.42629787	-249068.426229599	-39699.1580375582
2969200	85660.6029243015	-85660.0204381677	-28191.7734687883	249063.062898266	-249063.062342486	-28191.1915384343
3083400	71588.337861131	-71588.0584781414	-13514.3123084932	249058.175119065	-249058.174696643	-13514.0333479254
3197600	58338.276089156	-58338.2916940174	759.502336936712	249053.722153228	-249053.722080589	759.486659436789
3311800	47245.8380168765	-47245.9429615811	5080.37344449655	249050.091130838	-249050.091207209	5080.26857616349
3426000	38413.5091763513	-38413.6139639729	5085.7916778687	249047.255978976	-249047.255786422	5085.6866976936
3540200	31508.5466128896	-31508.6112766154	3162.97652741246	249045.071848761	-249045.071222781	3162.91123770722
3654400	26002.6377325369	-26002.6884181863	2470.99186011688	249043.348832126	-249043.348511918	2470.94085426022
3768600	22078.1150849686	-22078.0562399334	-2843.79031631562	249042.130430326	-249042.130286398	-2843.73161520887
3882800	19147.7091612398	-19147.5600244921	-7239.62786740117	249041.225818164	-249041.226120767	-7239.47842805094
3997000	17078.2932369872	-17078.0197020439	-13221.2563122313	249040.58938763	-249040.588763933	-13220.9834009849
4111200	15573.7888136662	-15573.3615162828	-20664.7135200366	249040.128005851	-249040.127266426	-20664.2869620782
4225400	14410.1741672809	-14409.6267842883	-26477.9971996757	249039.772467975	-249039.771639786	-26477.4506448716
4339600	13694.8857724751	-13694.1660670133	-34872.1351490704	249039.5530282	-249039.553147895	-34871.4153239133
4453800	13184.2077261099	-13183.3201522515	-43003.1941730374	249039.397092738	-249039.397183765	-43002.3065081522
4568000	12852.7737993354	-12851.7029352696	-51852.3792021346	249039.296467671	-249039.295931425	-51851.3088743148
4682200	12724.2088255119	-12722.9423205808	-61331.526310934	249039.257007269	-249039.256496303	-61330.2603169691
4796400	12562.0207874893	-12560.6071541083	-68479.189618796	249039.207568399	-249039.207468854	-68477.77608496
4910600	12462.4208829601	-12460.8108119326	-77972.9837126639	249039.177129678	-249039.176560245	-77971.3742110692
5024800	12346.3841595601	-12344.6116264803	-85854.6287948188	249039.141730157	-249039.14138838	-85852.8566035161
5139000	12206.0557166687	-12204.111778433	-94126.8214803712	249039.099041368	-249039.098045273	-94124.8785382309
5253200	72904.2721875633	415589.268321451	-237690.0393222	249057.950176436	250905.990413112	-249160.439402733
5367400	113418.330380014	364339.680469163	-226931.331744016	249073.072730065	250895.879460329	-249142.273085234
5481600	140125.100773537	326770.755456882	-216056.209518414	249084.014517405	250885.488421102	-249129.856226502
5595800	156299.967536129	300309.917518804	-205764.667839252	249091.353932143	250874.712726619	-249120.84944308
5710000	164219.25357528	284218.24503518	-197591.517985273	249095.242053012	250865.513554351	-249114.774982176
5824200	167271.540120243	274132.87350728	-190562.035626881	249096.860596787	250855.626551933	-249110.109148078
5938400	167308.021777538	267737.761900747	-184208.086308766	249096.90611226	250846.998673394	-249106.207416135
6052600	165798.644632906	262880.532985218	-177847.840258359	249096.151290926	250837.73491904	-249102.548850201
6166800	162944.949792039	259210.75287436	-171331.574358868	249094.723806868	250828.417954563	-249099.013453901
6281000	158580.182823649	256518.276050207	-164282.671412548	249092.592535172	250818.587317207	-249095.392391072
6395200	151272.981497559	254282.225046788	-154751.22285775	249089.147888519	250805.60214486	-249090.766346782
6509400	139881.751228935	252263.261555895	-141362.127884043	249084.065172536	250783.528595729	-249084.708867478
6623600	123282.533213905	229658.486100219	-123287.275707934	249077.158281616	229653.745867754	-249077.160543181
6737800	104858.317251906	169096.892526122	-104861.8091205	249070.045712993	169093.402124851	-249070.047180317
6852000	85248.7459115484	144187.713729238	-85251.7232928035	249062.914997293	144184.73746279	-249062.916112101
6966200	-364972.559168606	238179.168807774	-124019.421582721	-250897.204602779	249160.686317134	-249076.293657907
7080400	-330054.901274021	227669.950555515	-148446.02925719	-250886.638654663	249143.29203998	-249087.633361013
7194600	-303730.347677119	217531.612531753	-164641.48305202	-250876.077946799	249131.325863059	-249095.466113646
7308800	-286919.433008058	209462.069958022	-173385.73370327	-250866.960573276	249123.850089446	-249099.986269476
