"Time [ms]"	"FL_a [Wb]"	"FL_c [Wb]"	"FL_b [Wb]"
0	-0.190452760667635	0.229707145615807	-0.0257498736195829
0.1142	-0.190492544650898	0.229677583881058	-0.0257036854988375
0.2284	-0.190632181402694	0.258029707639502	-0.052480991937058
0.3426	-0.190551688906094	0.28238205317679	-0.0814779538159202
0.4568	-0.190309337001373	0.303837291784865	-0.111522329017781
0.571	-0.189898789813484	0.32121823496648	-0.143628987762487
0.6852	-0.188876362350885	0.334185858226355	-0.177907119192153
0.7994	-0.187618592016004	0.343008077557713	-0.213835673864338
0.9136	-0.186050678156216	0.349154878223145	-0.249626324299401
1.0278	-0.184049799855832	0.35508016186521	-0.282216951408194
1.142	-0.181156019181575	0.362185839280605	-0.309007611366055
1.2562	-0.177713055004932	0.370236425047901	-0.329207538162022
1.3704	-0.122898161372353	0.359135230515045	-0.317570397005879
1.4846	-0.0707717109318756	0.349700689488304	-0.308525984402747
1.5988	-0.0220898028798172	0.340408474332461	-0.30222888907791
1.713	0.0198477814832266	0.326937632626585	-0.301656915089779
1.8272	0.0578713916457009	0.311654118855828	-0.303881203885286
1.9414	0.0931249524701087	0.295408319161209	-0.307701544607538
2.0556	0.126368977412387	0.278766829175482	-0.312327452171316
2.1698	0.158321437980919	0.262335447023445	-0.317021066952548
2.284	0.189184758871176	0.246266659585751	-0.321526072843292
2.3982	0.218245326216265	0.233248475356554	-0.326378102580784
2.5124	0.244100055854221	0.233299076127679	-0.332532470882484
2.6266	0.267371865841939	0.233683380869111	-0.338844273565463
2.7408	0.286756828917817	0.233531356299102	-0.345943953346735
2.855	0.302350206708045	0.233112670999781	-0.353307133255665
2.9692	0.315296815898629	0.233057338810077	-0.359925339271405
3.0834	0.325627886767089	0.233669687006508	-0.365945012936402
3.1976	0.333453236142902	0.234919540380144	-0.371444127670362
3.3118	0.339560048937142	0.236211057202017	-0.376128276099056
3.426	0.344455559785424	0.237300542742908	-0.38000642270975
3.5402	0.348429050960497	0.238036969882717	-0.383229490890256
3.6544	0.351674131898855	0.238594736908945	-0.38592341811453
3.7686	0.354464913356153	0.238539436763832	-0.388175271438538
3.8828	0.356888894777899	0.237949984323639	-0.390124609654936
3.997	0.359066457392245	0.236667338399337	-0.391847698001405
4.1112	0.361058977512704	0.234521421523654	-0.393412182544616
4.2254	0.362906767671238	0.2316997826064	-0.394855613532562
4.3396	0.364716097133144	0.227962758251391	-0.396174113752326
4.4538	0.366490541316975	0.223320601061071	-0.397410841347227
4.568	0.368264021450544	0.217704752730315	-0.398572812435991
4.6822	0.370083842436982	0.21106740877561	-0.399659056112639
4.7964	0.371918009447707	0.203646669546348	-0.400693893173539
4.9106	0.373808010113346	0.195208946956921	-0.401650125600196
5.0248	0.375743692517776	0.185930073665315	-0.402534154941378
5.139	0.377728487287876	0.175771653809317	-0.403337001407681
5.2532	0.358886041618473	0.121459337713593	-0.383044820570448
5.3674	0.345178261867983	0.068883626540595	-0.368097382148768
5.4816	0.335435997195696	0.0184654562184149	-0.356524713070735
5.5958	0.329057449161269	-0.0292608732042474	-0.346457324845645
5.71	0.327638717873512	-0.0719983945954658	-0.334172171299735
5.8242	0.330108385907902	-0.110393320901081	-0.319498938982124
5.9384	0.33471270134624	-0.145932145003074	-0.303425547218479
6.0526	0.339331304121805	-0.180557970796789	-0.28772019278761
6.1668	0.344063832732435	-0.213999821262081	-0.271994109482706
6.281	0.348969540952252	-0.24596505100219	-0.255903871022519
6.3952	0.354422411637614	-0.27546014446155	-0.238687344731432
6.5094	0.360702537231804	-0.301298069858241	-0.219573250654237
6.6236	0.368067134250928	-0.322091745057233	-0.200060519854827
6.7378	0.375302342929072	-0.338806574847257	-0.1854892659171
6.852	0.382349805744294	-0.351230265651986	-0.171710973013754
6.9662	0.368149164061513	-0.337914059006154	-0.117031687347755
7.0804	0.357709773195573	-0.327613716661748	-0.0637789001074343
7.1946	0.348444151297276	-0.320995390221882	-0.0135164061557678
7.3088	0.337236536238662	-0.319237456823799	0.0319627464257722
7.423	0.323387141192862	-0.32187269602687	0.0727888233198469
7.5372	0.30674191394926	-0.328151248494217	0.109436277802746
7.6514	0.290104971840449	-0.334864018810145	0.144955381821457
7.7656	0.273885631429784	-0.341221926016689	0.179941579197173
7.8798	0.258047640065596	-0.346923958982496	0.214448085574833
7.994	0.242037931864032	-0.352278228258863	0.24793110054182
8.1082	0.224936575440567	-0.357811913203352	0.279227454665579
8.2224	0.20568630059175	-0.364061958238833	0.30676540346868
8.3366	0.148571176202147	-0.35573690589107	0.297008177265621
8.4508	0.0937517110393632	-0.348834890036348	0.289567378276868
8.565	0.0436868746218957	-0.340129885211003	0.286819799839088
8.6792	-0.000178890451043703	-0.327350134456021	0.290051912922993
8.79340000000001	-0.0385585659850352	-0.310522580857601	0.298415964577187
8.90760000000001	-0.074665521038855	-0.292593332179298	0.308605189575453
9.02180000000001	-0.109479396466834	-0.274306164814321	0.319518271637494
9.13600000000001	-0.14386769318098	-0.256339900294793	0.330145220423289
9.25020000000001	-0.178707809218126	-0.239448727008008	0.339421127456357
9.36440000000001	-0.214435755866939	-0.224048394029685	0.346547878934735
9.47860000000001	-0.249910532628707	-0.209031652702036	0.352375849929975
9.59280000000001	-0.243920964925471	-0.152758767822606	0.345915895084639
