"Time [ns]"	"SolidLoss [mW]"	"CoreLoss [mW]"	"p_cu [W]"	"P_out [W]"
0	0	0		0
114200	0.00059607696715069	0.0731026068324629	1.4117205661607E-11	-4.60158089775572E-05
228400	6018.87731964226	8001.96633101195	11.4292473290458	-1.79486658397537
342600	7851.05874039135	7715.11029872846	46.3315190330223	-4.45112448648786
456800	8856.48971354648	7407.81511245235	107.264784865349	-6.84703780399932
571000	10554.8517084283	7472.50318043176	202.565358694156	-7.8925952868684
685200	11657.0720615914	7657.28260308263	343.999309635434	-6.40137394816212
799400	13023.8364716892	7785.07306404301	546.02202388131	-1.14679270940042
913600	13997.0547129933	7732.75780872305	832.196419756487	8.83001827576322
1027800	16257.6808619007	7403.02365943475	1262.52259608834	24.250641704153
1142000	22013.7749778905	6090.14153695679	1983.07357734085	45.6072002310584
1256200	32821.951376342	4543.94414770145	3076.72181857541	72.7464164875754
1370400	22224.5271832974	20780.7601084048	1934.77506939924	99.453108180671
1484600	29333.9911154037	18720.7300812371	1359.79533219229	128.01658022119
1598800	29700.6946122203	15624.3122310431	1115.71630062766	158.525815982105
1713000	22033.1767728425	12019.7404862319	1083.10264465433	191.207615276812
1827200	17452.7313268347	10488.1537492702	1136.17457885835	225.977072572124
1941400	15006.963089999	9493.98944166332	1239.45861597103	263.297717978991
2055600	13307.9604359606	8940.61667588233	1376.83589349836	303.562938860453
2169800	12199.854392006	8412.19945087876	1540.73437397811	346.705246532456
2284000	11137.0384780007	7963.52727788146	1734.79663594509	392.748049907126
2398200	9812.75456519756	6889.9029397992	1977.52016374878	443.589568246363
2512400	7887.93857542363	4165.70490457934	2323.41644853741	505.164997802756
2626600	8411.20917324066	3749.55994029443	2805.16258254974	575.169992836945
2740800	10392.2936868267	3126.74681915107	3480.82512776786	651.235981458928
2855000	14304.820708986	2650.029383343	4335.75226520243	732.419557076867
2969200	15392.6759986561	2061.64149140815	5241.84588339464	816.629434630563
3083400	12892.1492132101	1346.48061186247	6180.57178063772	903.912719704463
3197600	8623.55660222207	832.181916082987	7130.4318550569	991.57260102443
3311800	6195.82818399265	663.874679732265	7984.00497638722	1079.06897011519
3426000	4801.90042596323	578.008546323305	8693.36107670822	1164.55140760827
3540200	4136.44881352786	539.277858077719	9261.44348996375	1245.4496960895
3654400	3892.3190291911	527.626697811153	9735.06936473984	1326.01092560642
3768600	3914.25542135715	559.889088026028	10080.0979656861	1399.90193385331
3882800	3999.25322631056	619.002484781588	10345.2958974408	1470.05580497202
3997000	4197.47371963866	677.920638631357	10533.0005560181	1533.29584121461
4111200	4412.3268341451	751.860210221645	10668.6531318629	1590.08433225016
4225400	4597.78605133508	835.801994975836	10773.006002254	1640.37342719774
4339600	4891.15736523147	954.420261239383	10838.2477591957	1681.04886195831
4453800	5073.20782786048	1055.07052721144	10886.917495783	1713.379651124
4568000	5314.60451124968	1164.33310585276	10915.0888637676	1734.46913555251
4682200	5680.53885108748	1290.49263465774	10921.9481768589	1741.28838662178
4796400	5791.56081934103	1385.91717565922	10939.7939682501	1740.39045860391
4910600	6062.59664393106	1506.7006224208	10950.2526070569	1725.14927366116
5024800	6393.66209073039	1608.94134568568	10960.5517386348	1696.38500624745
5139000	6783.31826023855	1724.6570964585	10970.6981300851	1653.94065081298
5253200	36591.3874962767	24885.8969314925	5696.48790545314	1549.47220862141
5367400	42330.3499077666	21734.4550813165	3103.98965638578	1471.9199849564
5481600	42590.3731672965	18453.3634103167	1828.2838867354	1418.36041960439
5595800	38295.6537076877	15607.0491036975	1258.96608808005	1392.28726578008
5710000	25586.7235558344	13256.7749291577	1068.65766634138	1403.48208033234
5824200	19707.0551215468	11346.4120262529	1035.1293210592	1428.49391969916
5938400	15128.7062081985	10494.9382361467	1086.34819500118	1470.98093244248
6052600	13580.2182964292	10166.649335383	1180.60430401095	1525.91614912599
6166800	11803.4746470752	9842.11147306613	1316.24899023568	1588.66930440299
6281000	10255.995658685	9509.3953588329	1498.93289573856	1654.58493458447
6395200	8826.95252998914	9424.77596992416	1798.98929438207	1725.45464312617
6509400	9447.50839753383	9048.60437983361	2295.76759651381	1795.54239154821
6623600	15357.6098661733	8119.35783151233	3088.17564616984	1853.66243728317
6737800	19178.4182354819	5482.10940307754	4056.37735578435	1871.45823455941
6852000	15833.7347689672	3891.85813732757	5239.02318866665	1851.06776061298
6966200	32316.2646223285	23944.2838013087	2806.29869164838	1712.0102965059
7080400	42009.2754063173	22061.9038360874	1643.40995108668	1605.18129235064
7194600	39673.8899299983	18081.9731238864	1063.05660595589	1527.74638445696
7308800	25015.928387406	15004.3595197897	836.967583717135	1497.36937100673
7423000	17775.5331919102	12974.0727789008	763.097025099524	1493.93017040215
7537200	12695.4966954388	11872.9471814414	775.875940633947	1510.11565794428
7651400	10324.0487814388	11577.7073715668	827.540762623349	1543.52047449401
7765600	8912.94916483424	11189.2722287346	915.885604901904	1582.79200190495
7879800	8401.4000569084	10840.3255591527	1046.47713251761	1619.87763721707
7994000	8228.5454700057	10504.5330491797	1222.8894782786	1648.49129515444
8108200	8165.07305253081	10641.1523050754	1508.69961240441	1667.99020851654
8222400	10735.227879452	10416.0370650711	1997.69538156869	1677.67494996057
8336600	28309.1753909443	27424.1649209575	1195.29992233101	1556.60994802343
8450800	31728.396666169	24999.7423002935	773.185584315654	1448.56862662282
8565000	25173.5639207862	21173.393863055	547.0804665406	1371.20365248607
8679200	17435.1100406842	18163.2948138774	453.535930960643	1328.88035040718
8793400.00000001	11324.8798578568	16509.3854010893	432.454579828369	1323.42016803985
8907600.00000001	8695.01562976442	15823.5755880335	441.57280624453	1340.11013409259
9021800.00000001	6895.51269512683	15289.5892139863	475.022701448206	1372.83036192479
9136000.00000001	5790.1292632143	14854.4058465884	530.279892921747	1409.47279216799
9250200.00000001	5310.00259363278	14206.3809395342	610.159748258561	1435.02245216431
9364400.00000001	6040.09673237725	13499.1017627948	734.579602179299	1449.29537178642
9478600.00000001	7482.92423499405	13009.7042330393	907.851009822696	1442.38085573262
9592800.00000001	21398.1959048759	27494.7715589836	557.736140268194	1322.89266893068
9707000.00000001	22552.7130270541	24203.8240651264	366.309120885917	1214.11176671872
9821200.00000001	15837.5214490965	20744.1221740922	278.430566514145	1141.93725690687
9935400.00000001	10925.063248357	19432.5831332903	246.147706306472	1114.22830964189
10049600	8178.14267645472	19322.9471971942	238.461115298979	1119.25734338637
10163800	6439.53763610328	18979.296493374	248.701388192767	1152.35965682312
10278000	4828.26781327535	18790.4117497475	271.587904268699	1197.0780660785
10392200	4733.70988963054	20057.1105985403	304.039660059155	1253.28430846675
10506400	4123.18582814334	16749.0480510104	356.419238770415	1282.3278549611
10620600	4755.23092363716	17634.3668395495	427.964604459635	1304.22669923354
10734800	6430.30010867235	16784.3767382721	542.933295657031	1292.55552629851
10849000	17379.486096876	24870.6621086792	332.407808631632	1163.51826138662
10963200	13841.4801536037	21647.6950396325	234.400549450866	1069.70183477878
11077400	9869.136745011	20469.9762629908	193.555295057948	1019.87666936933
11191600	7320.52129791354	20737.3853356717	181.038648266098	1018.9246159789
11305800	5603.56355692486	20800.7381312422	184.338871333005	1042.50306155114
11420000	4403.55896709746	20765.3077736559	198.332009043985	1084.01912629596
11534200	3670.56209120295	20831.0704254709	220.30408411461	1132.26668199272
11648400	3323.68417557075	18555.0326379782	256.765396387094	1157.41333755452
11762600	4096.73315555913	19222.9522576183	307.260725430388	1176.79843407892
11876800	5515.00076589276	19884.3792147107	379.357605037445	1185.55399861944
11991000	13724.7353969573	22939.4505723256	233.528872370984	1051.23103499049
12105200	11151.9864087426	20990.363908264	166.803872293736	963.434844992958
12219400	8103.99787154614	20906.9044911472	140.073516466426	926.430255700718
12333600	6054.88774711937	21320.7558003506	133.921892630582	932.517257504164
12447800	4610.05040089805	21363.6623854499	140.085964590596	965.198966113073
12562000	3461.08796028675	20763.2123095508	153.605524070565	1008.57452503585
12676200	2536.65644827928	18344.9270312282	173.951635362314	1033.87434398686
12790400	2742.04627052996	19148.3806757335	202.222193684738	1051.89606669378
12904600	3872.81542794915	19877.4559456198	243.790289945818	1070.74532373369
13018800	5531.29367327021	20613.884049532	303.306099294742	1074.81659467406
13133000	11439.4413096092	22040.3895683708	184.524100431991	946.804548881985
13247200	9339.01465113416	20769.5382610768	131.783577781143	867.523577521161
13361400	6828.42200400759	21136.5699915983	111.130542527391	840.465296651501
13475600	5019.32574064051	21451.9236877455	107.754558084837	854.173877731996
13589800	3811.49984457596	21471.7260275649	114.377101230611	891.324042481635
13704000	2608.78114425971	19903.4648691029	127.559533795319	929.677368619142
13818200	2215.39601983513	18754.2742186849	145.581884752563	950.519007626438
13932400	2575.89010519862	19367.7186995491	171.325212174377	968.181915186979
14046600	4014.43127342265	20241.5122282748	209.120027677658	979.512331593344
14160800	9690.50814960973	21096.5616997637	124.720877208842	846.460593899573
14275000	8397.60638252757	20718.9728481885	87.1453003524846	769.609230631028
14389200	6381.4920891134	21089.3723601843	74.6354641413554	745.495564106085
14503400	5745.91170978848	23197.816327753	75.7924397720645	769.330127907474
