"Time [ns]"	"SolidLoss [mW]"	"CoreLoss [mW]"	"p_cu [W]"	"P_out [W]"	"Pro [W]"	"Pem []"
0	0	0		0	0	0
114200	0.00061500403723939	0.0718945487525298	1.41018348230017E-11	-0.00138615234057877	0.00124250611361925	-0.000143646226959524
228400	6218.82099889212	7944.39616163711	11.9019286804178	-1.83003396924843	0.00406160659844037	-1.82597236264999
342600	7935.22072297781	7680.18773289346	47.4677348320395	-4.48349235361656	0.00620821695049009	-4.47728413666607
456800	8928.91374574494	7417.57120638803	109.553035115074	-6.85097939060928	0.00648889848439541	-6.84449049212488
571000	10487.6484013253	7487.56999726143	206.190129284876	-7.82806717805435	0.0047517923575169	-7.82331538569683
685200	11644.5925788715	7587.9839299089	349.59840325579	-6.23328017049617	0.00191172558562334	-6.23136844491055
799400	13072.0001563051	7701.85207747679	553.489391140966	-0.851248058750482	2.48404428364349E-05	-0.851223218307646
913600	14004.8888598431	7638.36791182292	839.36875614262	9.25642762725511	0.00219094734677229	9.25861857460188
1027800	16054.2265322942	7319.98029441426	1267.01671245269	24.7709039144305	0.0123193306470939	24.7832232450776
1142000	21398.4475629933	6026.73696915052	1983.65321675866	46.1608486131079	0.0349118658323224	46.1957604789402
1256200	32462.4886761214	4573.83822205345	3076.769439242	73.2722260130815	0.0747123683316138	73.3469383814132
1370400	22489.8523929252	20633.2910251477	1934.66016425674	100.11229718215	0.134026516506091	100.246323698657
1484600	29378.6650582957	18589.6338110534	1362.25058293604	128.845145954281	0.212999246114713	129.058145200396
1598800	29574.1044254542	15575.5839891551	1120.61790403433	159.604364321752	0.313306979518747	159.917671301271
1713000	22199.3021009136	11965.4146128337	1089.38362529367	192.485578591619	0.436727766454459	192.922306358074
1827200	17724.3447659926	10437.6343437084	1142.42245098418	227.389823526794	0.585040382607023	227.974863909401
1941400	15230.3535047659	9448.29242807288	1246.25021450885	264.815584723489	0.760191113516888	265.575775837006
2055600	13497.6808918676	8920.36416882531	1384.16421588623	305.035296922088	0.964494103315104	305.999791025404
2169800	12252.4772643836	8410.6736231549	1547.84185718154	348.325893319456	1.20051082176691	349.526404141223
2284000	11160.1742869974	7962.48718092976	1739.77103838022	394.210078532543	1.47071715101646	395.68079568356
2398200	9659.54485396382	6736.33790542337	1980.85200202707	444.699331293392	1.77824762584161	446.477578919233
2512400	7800.15603110717	4192.39700586792	2322.45942559458	505.903054777569	2.12994919047613	508.033003968045
2626600	8322.51111383554	3779.07540998204	2797.10804770142	575.338349362458	2.5344745528284	577.872823915287
2740800	10433.7348813445	3173.76072288476	3467.73689853792	650.855463868136	2.99820407856211	653.853667946698
2855000	14215.5392409697	2700.71071645644	4318.88651498165	731.327077962495	3.52594288654503	734.85302084904
